id,question,A,B,C,D,solution,category,difficulty
1088,Which metal has a hexagonal close-packed structure at room temperature?,Mg,Fe,Cu,Ni,A,inorganic,medium
1089,What is the coordination geometry of [PtCl₄]₂-?,square planar,tetrahedral,octahedral,linear,A,inorganic,medium
1090,Which halogen acid is the strongest in water?,HI,HBr,HCl,HF,A,inorganic,medium
1091,What is the average oxidation state of iron in Fe₃O₄?,2.67,2,3,2.5,A,inorganic,medium
1092,Which compound exhibits hydrogen bonding in the solid state?,NH₃,PH₃,HCl,Cl₂,A,inorganic,medium
1093,What is the oxidation state of aluminum in Al₂O₃?,3,2,1,4,A,inorganic,medium
1094,Which group 14 element shows the⁺2 oxidation state less frequently due to the inert pair effect?,Pb,Si,Ge,Sn,A,inorganic,medium
1095,Which ligand field strength order from weakest to strongest is correct for octahedral complexes?,I- < Br- < Cl- < F-,F- < Cl- < Br- < I-,Cl- < Br- < I- < F-,Br- < I- < Cl- < F-,A,inorganic,medium
1096,What is the oxidation state of phosphorus in H₃PO₄?,5,3,2,4,A,inorganic,medium
1097,Which metal forms a protective oxide layer preventing further corrosion?,Al,Fe,Cu,Ni,A,inorganic,medium
1098,What is the geometry of [AlCl₄]-,?tetrahedral,octahedral,square planar,trigonal bipyramidal,A,inorganic,medium
1099,Which species is a strong oxidizing agent in acidic solution?,Cr₂O₇²⁻,Fe₂+,Mn₂+,Sn₂-,A,inorganic,medium
1100,Diamond crystallizes in which crystal system?,cubic,tetragonal,hexagonal,orthorhombic,A,inorganic,medium
1101,Which oxide dissolves in both acids and bases?,Al₂O₃,Na₂O,SiO₂,SO₃,A,inorganic,medium
1102,What is the oxidation state of cobalt in vitamin B₁₂?,3,2,4,1,A,inorganic,medium
1103,Which lanthanide has the smallest ionic radius?,Lu,La,Ce,Nd,A,inorganic,medium
1104,"In the Hall–Héroult process, which compound is the electrolyte for aluminum extraction?",Al₂O₃,NaCl,CaCO₃,SiO₂,A,inorganic,medium
1105,What is the oxidation state of nitrogen in nitrous oxide N₂O?,1,2,0,3,A,inorganic,medium
1106,Which metal ion forms a blue aqueous complex?,Cu₂+,Fe₃+,Zn₂+,Hg₂+,A,inorganic,medium
1107,Which oxide is used as a refractory material due to its high melting point?,Al₂O₃,SiO₂,Fe₂O₃,CuO,A,inorganic,medium
1108,What is the geometry of the perchlorate ion ClO₄-?,tetrahedral,see-saw,bent,trigonal planar,A,inorganic,medium
1109,Which species is the conjugate base of H₂PO₄-?,HPO₄²⁻,PO₄³⁻,H₃PO₄,PO₄-,A,inorganic,medium
1110,Which metal is commonly used in thermocouples?,Ni,Cu,Fe,Pt,A,inorganic,medium
1111,What is the electron configuration of Cu+?,[Ar]3d₁₀,[Ar]3d₉ 4s₁,[Ar]3d₈ 4s₂,[Ar]4s₂ 4p₁,A,inorganic,medium
1112,Which complex exhibits Jahn–Teller distortion?,[Cu(H₂O)₆]2+,[Fe(H₂O)₆]2+,[Ni(H₂O)₆]2+,[Zn(H₂O)₆]₂+,A,inorganic,medium
1113,Which bonding model explains metal conductivity?,band theory,hard-sphere model,valence bond theory,Hückel theory,A,inorganic,medium
1114,What is the coordination number of Ti in rutile TiO₂?,6,4,8,3,A,inorganic,medium
1115,Which element exhibits allotropes with diamond and graphite?,carbon,phosphorus,sulfur,oxygen,A,inorganic,medium
1116,What is the oxidation state of lead in PbO₂?,4,2,3,1,A,inorganic,medium
1117,Which element is used as a neutron absorber in nuclear reactors?,B,Cd,Al,Si,A,inorganic,medium
1118,Which halide exhibits the strongest hydrogen bonding in aqueous solution?,F-,Cl-,Br-,I-,A,inorganic,medium
1119,What is the standard potential for the MnO₄-/Mn₂+ couple in acidic medium?,+1.51 V,+1.23 V,+0.80 V,+2.00 V,A,inorganic,medium
1120,Which oxide acts as a desiccant due to its hygroscopic nature?,P₂O₅,SiO₂,Al₂O₃,Fe₂O₃,A,inorganic,medium
1121,Which species is amphiprotic?,HCO₃-,CO₃²⁻,H₂CO₃,OH-,A,inorganic,medium
1122,Which element has the largest ionic radius among the lanthanides?,La,Lu,Eu,Yb,A,inorganic,medium
1123,What is the symmetry of the methane molecule CH₄?,Td,C₂v,Oh,D₃h,A,inorganic,medium
1124,What is the pH of a 0.10 M solution of AlCl₃?,acidic,neutral,basic,undefined,A,inorganic,medium
1125,Which compound is called yellow prussiate of potash?,K₄[Fe(CN)₆],K₃[Fe(CN)₆],K₂[Fe(CN)₆],KFe(CN)₆,A,inorganic,medium
1126,Which oxide has a spinel structure?,MgAl₂O₄,Al₂O₃,Fe₂O₃,NiO,A,inorganic,medium
1127,What is the oxidation state of uranium in UO₂?,4,6,5,3,A,inorganic,medium
1128,Which ion forms a pink complex with ammonia?,Co₂+,Cu₂+,Ni₂+,Zn₂+,A,inorganic,medium
1129,Which element is most abundant in the Earth’s core?,Fe,Ni,Si,O,A,inorganic,medium
1130,Which hydrohalic acid is strongest?,HI,HBr,HCl,HF,A,inorganic,medium
1131,Which point defect involves paired vacancies of cation and anion?,Schottky,Frenkel,interstitial,vacancy,A,inorganic,medium
1132,Which transition metal forms the stable oxidation state⁺2 only?,Zn,Fe,Mn,Cu,A,inorganic,medium
1133,Which metal surface is activated by amalgamation?,Zn,Cu,Al,Fe,A,inorganic,medium
1134,Which ion has five unpaired electrons?,Mn₂+,Fe₃+,Cu₂+,Co₂+,A,inorganic,medium
1135,Which non-metal is liquid at room temperature?,Br₂,Cl₂,I₂,F₂,A,inorganic,medium
1136,What is the d-electron count of Fe₃+ in octahedral complexes?,5,6,4,3,A,inorganic,medium
1137,Which metal oxide dissolves in excess base to form complexes?,ZnO,Fe₂O₃,CuO,NiO,A,inorganic,medium
1138,Which halide produces a white precipitate with AgNO₃?,Cl-,Br-,I-,F-,A,inorganic,medium
1139,Which polyatomic ion is trigonal planar?,NO₃-,SO₄²⁻,PO₄³⁻,CO₃₂-,A,inorganic,medium
1140,Which metal hydroxide precipitates in neutral solution then dissolves in excess base?,Zn(OH)₂,Fe(OH)₂,Cu(OH)₂,Mg(OH)₂,A,inorganic,medium
1141,Which element has the largest atomic radius?,Fr,Cs,Rb,Na,B,inorganic,medium
1142,Which element is used to treat hyperthyroidism?,Iodine,Fluorine,Chlorine,Bromine,A,inorganic,medium
1143,Which complex is formed by reaction of NH₃ with Cu₂+?,[Cu(NH₃)₄]2+,[Cu(NH₃)₆]3+,[Cu(NH₃)₃]+,[Cu(NH₃)₂]₂+,A,inorganic,medium
1144,Which reagent precipitates Fe₃+ as Fe(OH)₃?,NaOH,NH₃,HCl,KOH,A,inorganic,medium
1145,Which cation forms stable soluble complexes with EDTA?,Ca₂+,Ag+,Ba₂+,Pb₂+,A,inorganic,medium
1146,Which element is most reactive toward chlorine gas to form a chloride?,K,Na,Ca,Al,A,inorganic,medium
1147,What is the product of reaction between NH₃ and HCl gas?,NH₄Cl,N₂H₄,NH₂Cl,NHCl₂,A,inorganic,medium
1148,What is the ground term symbol for a d₄ high-spin octahedral complex?,5T₂g,5Eg,3T₂g,3A₂g,A,inorganic,hard
1149,Which electronic transition in an octahedral complex corresponds to t₂g→eg?,d–d,charge transfer,MLCT,LLCT,A,inorganic,hard
1150,"In a square-planar d₈ complex, which metal orbital is highest in energy?",dx₂–y₂,dz₂,dxy,dxz,A,inorganic,hard
1151,Which ligand is the strongest field in the spectrochemical series?,CN–,NH₃,Cl–,F–,A,inorganic,hard
1152,Jahn–Teller distortion is most pronounced for which electronic configuration?,d₉,d₅ high-spin,d₃,d₆ low-spin,A,inorganic,hard
1153,Paramagnetism arises from what property of a substance?,Unpaired electrons,Phrased electrons,Paired electrons,Electron holes,A,inorganic,hard
1154,The spin-only magnetic moment of a high-spin d₅ ion is approximately?,5.92 BM,4.90 BM,3.87 BM,2.83 BM,A,inorganic,hard
1155,"In Prussian blue analogs, Fe centers are bridged by which ligand?",CN–,NCS–,OH–,H₂O,A,inorganic,hard
1156,"According to MO theory for H₂, the antibonding orbital is?",σ*1s,σ1s,π*1s,δ1s,A,inorganic,hard
1157,Which coordination geometry do d₀ ML₆ complexes adopt?,Octahedral,Tetrahedral,Square planar,Trigonal bipyramidal,A,inorganic,hard
1158,The CFSE for a high-spin d₃ octahedral ion is?,–1.2Δo,–0.6Δo,–2.0Δo,–0.4Δo,A,inorganic,hard
1159,Which MO represents bonding overlap of p orbitals along the internuclear axis?,σ,π,δ,φ,A,inorganic,hard
1160,Which spectroscopic method probes ligand-field transitions?,UV-Vis,IR,NMR,Mass spec,A,inorganic,hard
1161,Elongation of axial bonds in a Cu₂+ octahedral complex is along which axis?,Z-axis,X-axis,Y-axis,Diagonal,A,inorganic,hard
1162,The nephelauxetic effect most directly impacts which parameter?,Racah B,Crystal field splitting,Spin–orbit coupling,CFSE,A,inorganic,hard
1163,Lanthanide contraction refers to the decrease in ionic radius across which series?,La→Lu,Ce→Yb,Th→Pa,Bk→Cf,C,inorganic,hard
1164,"In the K₂NiF₄ structure, nickel is coordinated in what geometry?",Octahedral,Tetrahedral,Square planar,Trigonal planar,A,inorganic,hard
1165,The Mössbauer isomer shift is most sensitive to what property?,Oxidation state,Magnetic ordering,Bond lengths,Crystal symmetry,A,inorganic,hard
1166,"In a one-electron Nernst equation, E = E° – (RT/nF) ln Q, what is n?",1,2,3,4,A,inorganic,hard
1167,"In a Born–Haber cycle for NaCl, which term is solved for after all others are known?",Lattice energy,Enthalpy of formation,Ionization energy,Electron affinity,A,inorganic,hard
1168,Which defect is characterized by paired cation and anion vacancies?,Schottky,Frenkel,Anti-site,Interstitial,A,inorganic,hard
1169,Which perovskite oxide exhibits ferroelectricity at room temperature?,PbTiO₃,BaTiO₃,SrTiO₃,CaTiO₃,B,inorganic,hard
1170,"In band theory, insulators have band gaps greater than approximately?",4 eV,1 eV,2 eV,0 eV,A,inorganic,hard
1171,Which structure is the anti-fluorite motif?,Li₂O,CaF₂,NaCl,Al₂O₃,A,inorganic,hard
1172,Which transition metal has the lowest electrical conductivity?,Fe,Cu,Ag,Au,A,inorganic,hard
1173,Which TiO₂ polymorph is most stable at standard conditions?,Rutile,Anatase,Brookite,Perovskite,A,inorganic,hard
1174,Which magnetic ordering arises from antiparallel spins with net zero moment?,Antiferromagnetism,Ferromagnetism,Paramagnetism,Diamagnetism,A,inorganic,hard
1175,"At high pressure, ice transforms to which denser form?",Ice VII,Ice I,Ice III,Ice II,A,inorganic,hard
1176,Which halide perovskite is lead-free?,CsSnCl₃,CH₃NH₃PbI₃,CsPbBr₃,RbPbI₃,A,inorganic,hard
1177,Which coordination number does Pt adopt in CaPtO₃ perovskite?,6,4,8,12,A,inorganic,hard
1178,Which ligand exhibits the strongest π-acceptor ability?,CO,CN–,NH₃,NO₂–,A,inorganic,hard
1179,Which electronic term in octahedral d₆ low-spin has no CFSE?,1A₁g,1T₁g,1T₂g,1Eg,A,inorganic,hard
1180,Which oxide is a p-type semiconductor due to oxygen vacancies?,Cu₂O,TiO₂,ZnO,Fe₂O₃,A,inorganic,hard
1181,Which nitrate is used in the Ostwald process for nitric acid production?,NH₄NO₃,HNO₃,KNO₃,NaNO₃,A,inorganic,hard
1182,What is the oxidation state of Cr in [Cr(NH₃)₅Cl]₂+?,3,2,4,5,A,inorganic,hard
1183,Which bridging mode describes μ3-oxo in metal clusters?,Three-center,Two-center,Four-center,One-center,A,inorganic,hard
1184,Which transition metal carbonyl has zero spin state and is highly stable?,Ni(CO)₄,Fe(CO)₅,Cr(CO)₆,Co₂(CO)₈,A,inorganic,hard
1185,Which silicate structure consists of isolated SiO₄ tetrahedra?,Nesosilicate,Inosilicate,Cyclosilicate,Phyllosilicate,A,inorganic,hard
1186,Which amphoteric oxide reacts both with acids and bases?,Al₂O₃,ZnO,SiO₂,Fe₂O₃,A,inorganic,hard
1187,Which ligand field strength follows the order I–<Br–<Cl–<F–?,I–<Br–<Cl–<F–,F–<Cl–<Br–<I–,Cl–<Br–<I–<F–,Br–<I–<Cl–<F–,A,inorganic,hard
1188,Which element shows highest magnetic anisotropy in 3d series?,Co,Fe,Ni,Cr,A,inorganic,hard
1189,Which uranium oxide is the primary fuel in most reactors?,UO₂,U₃O₈,UF₆,UO₃,A,inorganic,hard
1190,Which MO transition gives the color of permanganate?,LMCT,d–d,MLCT,LLCT,A,inorganic,hard
1191,"In zeolite A, which cation balances charge in the framework?",Na+,K+,Ca₂+,Mg₂+,A,inorganic,hard
1192,Which bond angle is characteristic of bent geometry in VSEPR of AX₂E₂?,104.5°,120°,90°,109.5°,A,inorganic,hard
1193,What is the coordination number of La in La₂O₃?,7,6,8,9,A,inorganic,hard
1194,Which rare‐earth ion is most effective for near‐IR emission?,Er₃+,Nd₃+,Tm₃+,Yb₃+,A,inorganic,hard
1195,Which oxide exhibits a spinel structure?,MgAl₂O₄,Fe₂O₃,Al₂O₃,ZnO,A,inorganic,hard
1196,Which pseudohalide ligand binds via nitrogen to metals?,NCS–,SCN–,CN–,OCN–,A,inorganic,hard
1197,Which M–O network structure is characteristic of rutile?,Linear chains,Sheets,Framework,Cages,A,inorganic,hard
1198,Which lanthanide shows half-filled f-shell stabilization at f₇?,Eu₃+,Gd₃+,Sm₃+,Tb₃+,B,inorganic,hard
1199,Which oxide is a Mott insulator due to strong electron correlation?,MnO,TiO₂,SiO₂,Al₂O₃,A,inorganic,hard
1200,Which coordination compound exhibits linkage isomerism?,Co(NH₃)₅NO₂ 2+,CoCl₂(NH₃)₄,Co(en)₃ 3+,Co(NO₂)₃ 2+,A,inorganic,hard
1201,Which non-innocent ligand participates in redox chemistry?,dithiolenes,cyanide,ammine,chloride,A,inorganic,hard
1202,Which geometry is enforced by a tetradentate Schiff‐base ligand?,Square planar,Octahedral,Tetrahedral,Trigonal bipyramidal,A,inorganic,hard
1203,Which metal catalyst is used in the Wacker process?,Pd,Pt,Ni,Cu,A,inorganic,hard
1204,Which ligand forms¹⁸⁻electron complexes with Fe₂+?,CO,NH₃,Cl–,H₂O,A,inorganic,hard
1205,Which phase exhibits superionic conductivity in AgI?,α-phase,β-phase,γ-phase,δ-phase,A,inorganic,hard
1206,Which structure is characterized by a rock-salt motif?,NaCl,MgO,CaO,FeO,A,inorganic,hard
1207,Which coordination polymer exhibits single-chain magnetism?,[Mn(ac)₂py]n,[Co(en)₃]3+,Ni(cyclam),Cu(tren),A,inorganic,hard
1208,Which cage cluster motif is found in B₁₂H₁₂ ₂–?,Icosahedral,Spherical,Cuboctahedral,Tetrahedral,A,inorganic,hard
1209,Which MO approximation treats ligands as point charges?,Crystal field,VSEPR,Valence bond,Hückel,A,inorganic,hard
1210,Which EPR parameter g≈2.002 indicates?,Organic radical,Metal radical,Transition metal,Defect center,A,inorganic,hard
1211,Which defect type increases ionic conductivity?,Frenkel,Schottky,Antisite,Interstitial substitution,A,inorganic,hard
1212,Which ionic oxide dissolves in excess acid only?,CaO,SiO₂,Al₂O₃,Fe₂O₃,A,inorganic,hard
1213,Which rare‐earth dopant is used for green luminescence in LEDs?,Eu₂+,Ce₃+,Tb₃+,Er₃+,C,inorganic,hard
1214,Which ligand substitution mechanism is associative in octahedral complexes?,I–/Cl– exchange,CO dissociation,H₂O loss,Br–/I–,A,inorganic,hard
1215,Which metal hydride acts as a hydrogen storage material?,MgH₂,NaH,CaH₂,AlH₃,A,inorganic,hard
1216,Which coordination geometry gives zero CFSE for d₂?,Tetrahedral,Octahedral,Square planar,Trigonal bipyramidal,A,inorganic,hard
1217,Which alkaline-earth fluoride has the highest lattice energy?,BeF₂,MgF₂,CaF₂,BaF₂,A,inorganic,hard
1218,Which series law describes variation of lattice energies among MX salts?,Born–Lande,Raoult,Hess,Henry,A,inorganic,hard
